N,P,K,temperature,humidity,ph,rainfall,label
49,70,49,35.685514,90.272698,6.921105,176.11529,papaya
9,56,15,21.329214,64.670814,5.347436,194.550509,pigeonpeas
32,24,14,10.370754,94.045516,7.876924,115.786009,orange
63,48,39,26.87665,80.560195,5.795711,296.947043,rice
112,8,48,28.537773,91.653004,6.860511,24.737602,muskmelon
37,72,22,34.372127,40.962864,6.921213,111.476466,pigeonpeas
105,20,50,27.339317,94.141368,6.251853,27.773021,muskmelon
20,15,31,25.279828,95.064611,6.370891,159.211536,coconut
66,54,42,25.260071,79.364528,7.332489,188.334891,jute
80,76,47,26.252415,83.059058,5.779674,95.74564,banana
35,78,18,28.321725,67.008084,7.147974,88.235087,blackgram
43,68,48,43.770564,93.351318,6.731756,168.81199,papaya
105,85,50,28.202416,77.594492,5.584649,93.57815,banana
130,59,23,25.852811,82.072707,5.619645,80.096009,cotton
107,13,53,25.257748,81.93994,6.284853,45.05164,watermelon
24,22,8,22.035884,90.221976,7.635065,119.797843,orange
100,29,28,23.358253,68.870071,7.16003,191.944054,coffee
45,63,78,19.108166,16.5565,5.826776,91.598126,chickpea
76,58,44,20.316531,80.131835,5.752927,281.055333,rice
4,44,19,29.406583,56.453996,3.948692,39.762966,mothbeans
19,29,14,29.490216,93.010509,6.909921,107.123571,orange
2,19,33,28.32604,47.333963,5.633427,80.513627,mango
82,38,31,26.495966,60.503516,7.252107,151.656673,coffee
37,58,21,29.038565,50.080266,8.315346,46.564701,mothbeans
55,60,24,27.187717,63.262205,7.134288,74.843879,blackgram
31,5,38,22.395711,87.751902,6.909587,106.338895,pomegranate
81,36,17,19.075317,56.267499,6.98494,76.117692,maize
23,55,16,28.645593,52.637719,4.422104,51.199924,mothbeans
132,40,23,23.598554,76.889139,6.63848,64.544945,cotton
44,48,47,33.510393,93.966148,6.575077,178.543622,papaya
40,76,23,22.731166,53.068096,4.701768,100.440973,pigeonpeas
39,52,23,26.594635,56.912094,7.303148,50.157506,mothbeans
25,79,21,18.47277,22.063273,5.569598,99.963937,kidneybeans
95,33,30,26.69331,68.145791,7.381544,176.755339,coffee
44,59,19,31.171942,69.698189,7.091447,88.065094,blackgram
17,74,22,20.470584,63.52481,6.12611,44.544995,lentil
2,8,27,27.520884,98.491366,5.735642,224.164581,coconut
78,51,38,21.316848,82.318492,5.706704,258.365611,rice
20,13,8,11.675702,94.478596,7.383637,102.432363,orange
100,18,54,27.511681,90.681168,6.630401,23.012257,muskmelon
113,17,47,26.103423,82.90643,6.297493,42.963481,watermelon
30,79,19,24.841103,22.67544,5.817336,74.935941,kidneybeans
81,10,51,24.028035,80.329769,6.851888,46.840249,watermelon
100,85,48,29.917986,81.673512,5.543847,99.798657,banana
11,70,18,31.574059,60.360211,4.807548,146.523991,pigeonpeas
29,50,17,24.205517,47.113535,6.335416,50.855297,mothbeans
82,75,53,28.833842,78.506427,5.876811,106.006633,banana
67,44,43,23.121689,83.459008,7.224597,196.613392,jute
116,40,16,25.091218,77.496811,6.413357,94.388652,cotton
3,19,41,22.669258,94.115769,6.34562,106.215073,pomegranate
25,61,22,26.124425,47.701821,6.447967,192.990868,pigeonpeas
28,69,77,20.888021,17.651164,6.373766,68.422874,chickpea
90,36,18,24.099669,72.535313,6.013123,101.062865,maize
8,12,34,27.858199,94.55011,5.649637,180.475458,coconut
2,17,43,23.593575,90.08479,6.232902,108.4533,pomegranate
98,35,45,20.302119,84.455716,6.055402,299.29648,rice
11,60,18,22.588512,38.596505,5.774553,189.862237,pigeonpeas
26,136,201,15.227793,82.786029,5.876042,74.426097,grapes
41,63,20,26.975559,68.051744,6.278665,67.124157,blackgram
8,10,28,26.524673,93.600655,5.920538,148.89797,coconut
34,63,75,17.096767,18.990182,6.182677,80.542363,chickpea
52,74,16,31.43908,68.343248,6.86603,81.160184,blackgram
37,10,33,25.117512,93.754972,5.610749,171.72279,coconut
65,49,16,22.433424,68.028408,6.744613,70.321064,maize
111,76,53,28.519683,84.456735,5.908927,109.859095,banana
14,37,20,31.365917,41.001478,5.36535,30.377047,mothbeans
96,86,52,28.555609,75.519661,6.359748,103.747599,banana
39,78,22,20.333866,24.089784,5.565326,131.145881,kidneybeans
19,6,35,23.02027,90.380947,6.508706,102.431245,pomegranate
34,79,78,20.289922,14.795148,7.655036,92.682716,chickpea
36,14,35,25.017523,90.276298,6.323841,157.951642,coconut
2,29,6,27.711956,90.339631,6.216321,110.177525,orange
23,66,21,27.817269,60.35105,5.347488,128.835543,pigeonpeas
97,77,54,25.202929,84.137275,6.332994,98.927121,banana
109,87,46,28.603081,80.003052,6.3941,117.596128,banana
25,135,198,23.640887,91.52055,5.949725,113.594061,apple
36,79,23,15.015651,22.45481,5.525568,83.18465,kidneybeans
113,7,46,28.283609,90.493287,6.619093,21.436916,muskmelon
18,31,23,31.131704,85.880005,6.529654,59.994584,mungbean
38,55,25,26.077367,64.243091,6.259897,37.37594,mothbeans
33,21,33,29.722439,92.729217,5.669661,183.559168,coconut
60,38,20,24.991121,66.948262,6.400775,93.251834,maize
21,138,198,20.486349,92.780287,5.826978,111.062283,apple
36,29,25,27.320676,90.246561,6.408693,186.656679,coconut
34,63,18,18.587155,23.63106,5.63938,78.963447,kidneybeans
24,46,17,24.932665,53.667392,9.275443,37.197884,mothbeans
14,34,19,27.813304,87.343657,6.313246,41.464133,mungbean
14,67,16,26.213224,65.032204,6.765149,56.985172,lentil
95,19,53,26.561845,81.721943,6.270963,42.856266,watermelon
17,58,18,27.273664,82.042421,6.628043,45.490873,mungbean
36,79,24,25.969512,61.21462,5.929007,144.729384,pigeonpeas
32,62,22,23.017178,67.562739,6.409123,125.696298,pigeonpeas
20,60,16,31.226967,45.311951,6.965493,162.546185,pigeonpeas
37,67,17,22.12014,23.781847,5.550319,81.58867,kidneybeans
72,57,15,18.684068,59.157725,5.539798,69.071772,maize
90,56,44,25.427326,87.214571,6.023122,155.36179,jute
22,65,76,19.923284,19.887783,6.141325,84.625238,chickpea
25,130,198,23.438915,93.500941,6.04774,115.239213,apple
20,18,14,21.562357,91.397212,6.461933,117.485038,orange
120,38,17,23.918528,83.87589,6.349586,94.07675,cotton
83,59,41,22.717189,83.216441,5.916506,254.561679,rice
34,24,26,28.105626,92.353256,6.057518,226.11996,coconut
13,140,202,29.497417,82.792468,5.810973,65.996639,grapes
4,71,17,28.468735,66.131162,6.157204,73.681832,lentil
91,12,50,26.847337,89.986173,6.235407,47.269799,watermelon
28,133,204,20.77874,80.344997,6.436566,68.781963,grapes
21,129,200,28.107664,81.673452,6.214153,73.612322,grapes
38,72,22,34.954215,62.875112,6.80733,78.333089,blackgram
6,13,44,18.026812,87.381248,6.938448,101.71086,pomegranate
31,63,79,19.156645,15.867846,7.025834,86.48452,chickpea
15,8,30,29.36999,98.87291,5.510966,219.766617,coconut
94,47,16,24.965999,63.906105,6.272226,77.961668,maize
28,75,20,26.624391,65.862355,6.492367,46.731052,lentil
3,138,203,20.789957,82.656503,5.926592,73.891194,grapes
93,15,52,26.111808,84.925219,6.914886,44.891965,watermelon
73,57,43,26.808234,85.80219,6.989395,192.829222,jute
85,25,27,25.077798,57.686781,7.107587,188.710778,coffee
120,30,29,27.177696,64.59748,7.123913,159.806967,coffee
39,68,24,18.214957,21.335059,5.613014,117.642844,kidneybeans
86,37,37,24.903187,83.071303,6.218804,159.261167,jute
34,59,24,29.912536,46.936617,5.302343,68.168016,mothbeans
25,70,16,18.845113,21.413669,5.826112,145.547795,kidneybeans
103,71,46,28.112747,77.078238,6.00407,106.346451,banana
37,60,19,18.373455,18.135293,5.562184,97.227841,kidneybeans
14,12,27,28.95787,99.554142,5.913645,225.717863,coconut
47,69,46,35.334702,91.00487,6.895037,204.577628,papaya
50,56,47,38.869908,92.25668,6.979258,94.76977,papaya
7,38,17,28.234285,83.064154,6.832701,54.699791,mungbean
22,24,26,32.893316,50.251409,5.007484,78.556071,mango
24,10,43,21.663004,86.167479,6.129065,105.368591,pomegranate
83,11,45,24.98825,85.368682,6.910795,48.465543,watermelon
40,72,19,21.478174,18.860445,5.94433,105.277556,kidneybeans
81,53,15,18.482817,59.942065,5.739317,103.589178,maize
23,124,200,23.324509,90.077412,5.772917,100.061365,apple
52,61,16,28.169041,62.667945,6.758889,84.443198,blackgram
21,57,80,18.181779,18.615339,7.061659,76.458189,chickpea
17,139,195,17.458224,80.812282,5.901952,73.457449,grapes
11,141,205,24.87694,80.038801,5.640045,68.220806,grapes
90,72,52,27.862039,79.045195,5.863611,96.504428,banana
118,41,15,24.239857,80.906552,6.958073,78.073917,cotton
93,53,40,20.684839,82.458079,5.946944,217.320187,rice
30,8,37,21.224985,87.862799,6.247463,106.452376,pomegranate
3,30,22,30.209098,84.107888,6.734466,50.386075,mungbean
103,75,54,29.710927,80.18493,5.852309,97.021733,banana
76,52,41,25.128939,85.368211,7.136907,180.892958,jute
13,42,17,27.484828,81.790316,7.196271,56.938645,mungbean
61,52,16,25.688563,57.973255,6.121936,64.267483,maize
32,79,76,18.718627,19.236382,7.604834,70.583043,chickpea
50,75,77,20.271337,14.721254,6.861223,65.17276,chickpea
46,69,79,18.860822,14.360854,6.905742,93.728759,chickpea
8,130,204,20.98647,93.341804,6.240149,111.203217,apple
75,54,38,26.515301,84.292064,5.857988,275.087107,rice
38,67,17,15.254478,22.520757,5.818451,90.654375,kidneybeans
67,47,46,23.696657,90.522538,6.60471,243.71609,papaya
115,34,26,27.451546,59.435343,7.115793,157.001962,coffee
29,67,18,26.817636,65.041328,6.484215,71.452691,blackgram
39,60,25,21.768213,23.799285,5.64731,61.288375,kidneybeans
23,24,29,31.118523,52.275793,5.629097,90.701898,mango
21,34,30,31.224458,48.980872,4.566117,75.066716,mango
28,29,35,26.174646,91.003311,5.648283,203.18321,coconut
34,53,49,36.07447,90.790663,6.930302,133.983869,papaya
33,129,201,20.611548,90.330844,5.715938,103.196345,apple
34,72,79,20.708711,15.407852,6.49829,69.57248,chickpea
20,19,44,19.095704,88.666377,6.619121,101.593949,pomegranate
24,71,79,18.52168,18.653671,7.911192,71.112994,chickpea
89,13,47,27.916295,91.607312,6.15963,22.051828,muskmelon
24,129,200,22.389397,92.362311,6.198313,110.842423,apple
96,14,53,29.351776,92.5964,6.857952,23.913781,muskmelon
81,13,50,28.575751,94.870156,6.911454,21.617128,muskmelon
30,15,31,30.794614,50.0655,5.907076,74.401031,mango
9,30,34,34.978024,54.214577,6.946265,65.320104,mango
123,43,23,22.73579,79.646271,5.520487,84.084116,cotton
30,25,31,27.442806,91.139382,5.583952,170.560836,coconut
37,13,36,21.697244,86.268728,6.592493,104.824931,pomegranate
91,42,39,20.549195,80.126754,6.925297,283.598012,rice
110,15,47,28.481962,93.9582,6.475704,25.366233,muskmelon
111,38,27,26.127484,57.842697,7.484322,173.941641,coffee
49,56,45,42.457699,93.016539,6.601577,233.116718,papaya
16,48,17,28.575967,60.135808,8.36503,27.694995,mothbeans
90,46,17,20.96831,74.752991,5.560164,103.351575,maize
9,27,31,33.317748,47.571185,6.871635,70.092755,mango
113,11,51,29.162449,91.206034,6.168141,29.72096,muskmelon
35,73,15,22.719149,38.576259,5.312419,117.231575,pigeonpeas
14,60,22,31.744903,81.425566,6.573209,53.868295,mungbean
117,27,26,25.289068,57.515898,6.866487,171.932934,coffee
4,140,195,28.178856,81.090231,6.371546,69.849923,grapes
35,18,28,26.039442,98.003249,6.124518,182.125891,coconut
115,43,21,22.657055,83.459813,6.718604,83.82416,cotton
17,74,16,23.279203,41.052764,5.796057,197.840562,pigeonpeas
84,50,44,20.318125,81.404816,6.900823,289.026378,rice
13,130,201,22.873766,91.960148,6.40493,114.0001,apple
36,17,35,20.240417,89.217742,6.229716,101.995716,pomegranate
91,27,26,26.529533,57.873268,6.409002,150.168942,coffee
55,71,78,18.297335,15.998011,7.173717,94.824181,chickpea
112,42,18,25.539212,82.237952,6.504585,99.937457,cotton
76,37,39,23.159729,86.704345,6.314608,166.415436,jute
6,33,32,27.244269,49.117477,5.332376,85.082362,mango
91,91,50,27.309032,78.144341,6.080969,111.896674,banana
32,50,46,29.067201,93.137195,6.783093,168.551463,papaya
31,129,202,20.416304,93.946667,6.032331,107.307254,apple
52,75,77,17.323677,16.417881,5.933811,85.848533,chickpea
69,38,41,22.020414,82.906191,5.308725,248.11401,rice
22,62,18,24.706212,54.851698,5.50215,170.596896,pigeonpeas
22,41,20,29.851891,63.95295,4.910854,64.309089,mothbeans
22,33,16,27.527417,85.855877,6.816517,45.84352,mungbean
96,54,39,23.735383,88.828224,6.798527,192.617773,jute
17,12,37,18.217477,94.469029,6.240713,102.399489,pomegranate
36,136,204,24.705614,82.168133,6.419038,73.999095,grapes
15,52,16,28.567019,44.631759,5.283316,30.93549,mothbeans
76,46,45,25.77843,84.383438,6.844053,198.730461,jute
94,59,17,20.165957,67.879991,6.113101,61.269318,maize
33,17,32,27.174921,95.587234,5.558046,202.663713,coconut
68,39,16,23.091442,69.129515,5.547379,106.810612,maize
51,56,75,18.855726,19.455321,6.846754,79.934375,chickpea
92,87,52,26.431122,79.601026,5.693447,96.311162,banana
79,35,40,20.394123,80.59409,5.235052,264.92103,rice
27,20,30,25.932819,98.947105,5.748536,148.217799,coconut
91,42,39,25.095897,72.697497,6.038973,157.64029,jute
13,21,30,35.238017,46.031468,6.857552,88.852186,mango
81,18,47,29.189099,94.055077,6.858986,29.915942,muskmelon
31,135,201,23.030039,90.589895,6.333209,117.640495,apple
91,93,48,27.76169,75.505075,5.543881,111.611196,banana
28,75,20,36.37367,32.066749,6.014387,169.029934,pigeonpeas
54,65,16,29.018763,66.737562,6.675526,83.724079,blackgram
39,7,14,30.351707,91.571208,7.947053,105.758755,orange
31,65,76,17.724597,18.086707,5.953596,80.754902,chickpea
102,9,48,24.117759,83.054442,6.744604,40.475178,watermelon
104,84,50,27.524664,76.764119,6.312733,106.25281,banana
3,144,195,23.014016,92.625512,5.868621,101.646054,apple
33,64,77,19.781869,16.331349,6.621734,72.126324,chickpea
84,24,28,27.577584,67.050213,6.869749,176.017317,coffee
2,64,24,30.192954,56.859166,6.396846,111.889135,pigeonpeas
33,8,13,20.351715,91.268484,7.739537,108.640496,orange
26,132,201,22.1768,93.698982,6.205937,113.354747,apple
30,9,29,25.141425,91.370679,5.673204,144.896911,coconut
37,67,52,36.847381,92.034321,6.630988,245.68466,papaya
99,15,54,25.178852,89.617625,6.415786,46.010827,watermelon
1,56,20,30.201952,45.86064,5.708536,21.505194,mothbeans
35,52,52,35.875561,92.655016,6.841482,173.852079,papaya
43,73,79,18.616561,15.962199,7.168983,89.235378,chickpea
34,16,40,21.642265,94.752445,6.96577,102.15269,pomegranate
41,62,79,19.310373,17.807495,7.494785,76.879114,chickpea
38,57,53,33.195414,91.677383,6.541176,155.56206,papaya
24,64,16,22.106706,69.813833,6.629684,54.565633,lentil
36,141,196,20.425554,92.475858,6.109223,106.872708,apple
26,17,39,18.511596,87.736664,6.980005,105.962586,pomegranate
48,58,78,18.026251,19.777561,6.708864,89.179776,chickpea
39,34,33,27.328255,49.678595,6.116553,89.900981,mango
38,70,78,20.677568,16.981781,7.980395,90.542749,chickpea
2,15,38,18.36643,87.309793,6.801914,108.514892,pomegranate
102,8,54,24.773266,82.264296,6.480714,44.98851,watermelon
33,70,19,24.938484,24.162203,5.811703,111.243963,kidneybeans
33,54,24,27.298087,86.920506,6.209981,50.395464,mungbean
118,15,51,28.381159,91.822049,6.353005,26.363727,muskmelon
100,7,52,25.190664,82.629242,6.375499,44.977566,watermelon
37,72,16,15.938573,24.367388,5.8346,134.635812,kidneybeans
107,16,55,27.781192,90.092282,6.545608,27.067905,muskmelon
35,25,28,29.072825,48.777968,5.291711,85.319119,mango
88,54,41,25.39677,82.468978,6.045466,242.754102,rice
34,78,21,32.621746,68.118067,6.512774,75.842358,blackgram
28,77,79,20.482314,15.432777,6.628098,94.54969,chickpea
120,71,46,28.047339,83.205764,5.785244,97.176333,banana
34,77,25,29.434391,63.20997,6.789141,82.19423,blackgram
3,64,23,26.235972,69.887294,6.177178,125.327837,pigeonpeas
40,48,51,37.27733,93.214656,6.930565,142.149425,papaya
1,79,18,30.844499,58.265195,6.330022,124.419813,pigeonpeas
22,55,21,30.922027,85.98563,6.621212,63.948646,mungbean
17,9,34,28.811594,94.813558,6.180061,220.75544,coconut
106,38,17,25.066847,77.95377,5.532083,107.208718,cotton
1,135,198,32.246698,81.133845,6.186756,71.742196,grapes
34,145,202,23.746752,94.134745,6.344426,114.228539,apple
8,61,20,27.114242,62.059882,6.709296,40.740244,lentil
112,71,55,27.632975,78.03281,5.862583,91.992161,banana
80,39,43,26.553727,87.025777,6.65005,187.933694,jute
1,137,200,21.38704,94.312022,6.354268,100.557543,apple
36,14,36,21.148628,92.563561,6.794135,104.945971,pomegranate
36,123,203,21.639354,94.954007,5.972281,113.845902,apple
15,41,18,29.602719,84.406649,7.319872,52.63802,mungbean
85,15,51,28.660289,90.159284,6.469303,29.246228,muskmelon
100,21,31,25.21643,58.934431,6.544105,150.846468,coffee
82,19,28,27.14959,67.853124,6.280252,180.983208,coffee
37,79,21,24.785302,61.501963,5.253004,152.048143,pigeonpeas
66,41,40,25.805992,89.727972,6.66226,175.909247,jute
20,79,22,18.047511,23.805763,5.640761,138.547846,kidneybeans
113,77,49,27.688461,81.636247,6.283972,101.844218,banana
95,45,19,21.513079,62.538889,6.19402,75.068894,maize
69,50,41,25.936428,82.417484,7.453863,159.864415,jute
100,48,18,18.536612,69.999209,5.814858,104.902714,maize
35,59,23,28.501434,45.862147,4.895145,185.182533,pigeonpeas
15,30,32,30.424752,46.079624,4.674115,82.668081,mango
26,75,20,18.480956,20.602175,5.500677,86.982047,kidneybeans
19,12,35,23.735788,88.598249,6.540766,106.773007,pomegranate
115,15,48,26.051099,80.196832,6.735643,44.87016,watermelon
20,65,18,31.933775,67.662455,6.456142,85.290675,blackgram
89,58,20,21.606715,57.264761,6.977262,101.944904,maize
99,49,43,26.61336,84.248237,5.494696,245.054414,rice
15,58,16,24.738884,44.069775,7.309362,27.523614,mothbeans
38,66,19,15.58092,18.780585,5.757931,84.083341,kidneybeans
20,27,28,27.291707,51.051016,5.489362,73.960165,mango
132,38,19,23.085843,77.916588,5.684883,100.288192,cotton
59,51,46,24.652357,92.130758,6.972922,85.723097,papaya
37,38,24,29.470932,53.289304,3.709018,43.77981,mothbeans
113,41,24,22.219814,76.766137,6.323079,84.05336,cotton
15,53,18,30.138344,81.920161,6.219032,63.451603,mungbean
28,8,11,16.217295,92.158584,7.268101,105.139719,orange
67,46,42,24.126402,70.397598,6.811831,197.830028,jute
25,56,16,33.341641,61.179725,6.067727,75.947497,blackgram
22,42,20,31.982632,81.352173,7.013184,49.900024,mungbean
96,38,29,25.293644,69.630828,6.298986,153.262759,coffee
105,71,45,27.250121,78.326902,5.938299,97.880799,banana
29,79,17,30.597897,59.675853,7.045276,136.489212,pigeonpeas
50,70,52,29.476286,94.384293,6.890861,43.237185,papaya
30,139,204,21.637883,94.765364,6.365429,107.412539,apple
37,10,44,23.348669,87.478124,6.036341,101.018473,pomegranate
65,36,20,22.933203,70.930746,6.222284,65.865409,maize
25,38,27,33.652728,45.786986,6.009388,69.917952,mango
23,23,30,25.14429,90.641955,6.037923,204.691013,coconut
31,127,198,22.715513,92.81599,5.66223,107.748248,apple
7,79,18,20.026311,64.606728,6.307088,41.230574,lentil
62,50,43,24.751198,81.091613,7.199744,180.525309,jute
19,35,16,26.068733,40.696306,7.540802,41.319918,mothbeans
6,71,19,29.947742,64.801835,6.485886,59.804813,lentil
14,11,26,25.897641,91.244989,6.414878,152.624049,coconut
37,67,24,31.410861,63.116529,6.787977,66.651383,blackgram
96,47,40,24.331055,75.533399,6.983923,155.992033,jute
40,37,24,31.153114,82.246574,6.598999,50.241822,mungbean
122,57,23,23.128169,80.477374,5.624827,105.762594,cotton
95,5,45,25.381698,84.883349,6.02257,46.869274,watermelon
4,141,198,23.88519,90.589301,6.458251,102.275295,apple
15,130,196,33.291689,80.364145,6.148209,69.131945,grapes
26,16,28,29.17962,97.58446,5.821255,149.271727,coconut
20,143,201,25.767684,81.817931,5.709288,65.037197,grapes
111,10,47,24.507173,87.748584,6.129706,44.537538,watermelon
98,44,39,25.689597,84.736243,6.972002,275.337819,rice
5,18,29,33.47837,52.12072,4.946127,67.387644,mango
14,15,33,27.319945,54.401798,6.730186,81.065657,mango
93,22,30,23.395723,52.35353,6.263787,188.73618,coffee
3,20,35,23.846708,88.653668,6.841615,105.546205,pomegranate
104,72,49,25.873934,84.871001,6.06115,110.623106,banana
21,124,205,17.158491,83.727777,6.413578,70.253605,grapes
69,57,45,23.346714,87.245033,6.585774,176.203622,jute
1,13,6,15.824305,94.527447,6.073787,104.396014,orange
103,51,22,22.379728,78.188518,6.989222,93.921333,cotton
26,19,32,28.281881,49.253565,5.118015,87.451257,mango
52,67,50,28.003511,94.255459,6.77861,83.436618,papaya
93,8,48,27.107245,93.522118,6.492117,20.942431,muskmelon
8,52,19,27.21925,62.114672,9.231602,65.458763,mothbeans
96,51,42,25.670429,78.989184,7.034008,153.485387,jute
21,63,79,17.807414,18.040595,7.92478,67.817021,chickpea
38,52,24,26.123971,55.28659,7.8424,35.877485,mothbeans
17,12,41,18.502147,87.267586,6.93149,109.084101,pomegranate
96,14,54,24.206253,85.073941,6.32892,45.083117,watermelon
2,36,22,27.663432,45.663041,7.42941,32.642906,mothbeans
131,39,21,22.342657,84.468674,5.937586,71.323235,cotton
40,66,54,40.351412,91.670386,6.636223,155.322695,papaya
93,12,51,26.957975,89.377646,6.862153,48.891305,watermelon
37,45,16,29.717751,47.333836,6.86301,54.891639,mothbeans
85,51,40,20.632028,84.176512,5.64156,218.651851,rice
2,22,30,27.220721,96.344399,6.327679,178.492362,coconut
27,49,19,26.207382,59.214533,4.948144,54.617715,mothbeans
11,40,22,29.069693,54.836535,3.603958,56.438903,mothbeans
91,38,20,21.630316,59.721009,5.610245,68.487895,maize
77,45,41,24.445656,80.22652,5.749225,262.585992,rice
78,39,19,23.549458,59.415392,5.623572,94.024965,maize
23,12,25,29.104267,92.757296,6.296549,165.939582,coconut
18,7,8,29.537256,90.75794,7.294319,118.348517,orange
40,11,38,21.905154,88.043076,6.086458,100.014283,pomegranate
23,67,20,22.488263,22.558033,5.810464,91.713745,kidneybeans
102,13,50,24.404357,84.960755,6.169104,41.261358,watermelon
21,47,24,30.361253,84.81278,7.214513,63.763321,mungbean
39,58,24,33.677021,67.076206,6.159321,84.396931,blackgram
82,51,39,22.052475,81.643323,6.345037,275.237453,rice
63,59,45,24.887132,82.680482,5.619055,281.379502,rice
101,60,24,23.189375,77.574112,6.072162,77.808348,cotton
122,41,25,25.186324,79.129921,5.727012,99.266585,cotton
33,74,23,21.566726,33.535398,6.596846,130.518194,pigeonpeas
13,12,14,29.924691,92.574899,6.261469,104.301429,orange
59,68,18,29.694068,68.578578,6.457355,69.81691,blackgram
23,70,17,27.569047,67.201113,6.086136,56.233344,lentil
91,94,53,28.611868,75.779939,5.60613,104.78344,banana
25,25,34,29.518147,54.810295,6.03427,88.806122,mango
87,37,19,21.961172,64.611732,6.388612,101.234048,maize
2,142,199,22.355775,90.695939,5.503388,106.132252,apple
2,5,43,21.340025,86.308811,6.235566,109.32504,pomegranate
37,29,30,28.411261,45.007895,6.52535,67.627237,mango
121,40,20,25.341449,81.157926,6.450683,87.051514,cotton
37,31,17,31.430856,84.585186,6.846886,56.57568,mungbean
28,71,18,20.967925,55.437613,6.297906,109.729161,pigeonpeas
40,72,75,17.339168,18.29794,5.680211,67.137702,chickpea
27,142,199,21.651052,93.821228,6.082554,101.77517,apple
111,18,25,24.368478,55.386918,7.228978,185.533362,coffee
29,77,17,29.164132,58.045584,6.540336,134.896686,pigeonpeas
82,39,38,26.725433,72.921814,6.948601,179.647714,jute
